year,district,migration_background,benefit_recipients,households_children,average_age,residence_duration
2017,14 Berg am Laim,25.8,5.1,11.84,41.9,12.8
2017,15 Trudering - Riem,23.2,3.3,22.23,40.5,12.4
2017,16 Ramersdorf - Perlach,30.7,5.5,13.0,43.5,14.3
2017,17 Obergiesing - Fasangarten,21.5,3.7,11.77,40.7,11.4
2017,18 Untergiesing - Harlaching,16.2,3.0,13.09,43.8,12.7
2017,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,19.5,2.6,13.59,45.0,13.5
2017,20 Hadern,22.3,3.5,14.6,45.0,14.5
2017,21 Pasing - Obermenzing,17.3,2.7,17.56,43.4,13.3
2017,22 Aubing - Lochhausen - Langwied,22.6,3.8,17.32,43.4,15.2
2017,23 Allach - Untermenzing,16.6,2.4,20.56,43.4,14.9
2017,24 Feldmoching - Hasenbergl,27.2,5.2,16.63,42.6,15.6
2017,25 Laim,19.5,3.4,10.27,43.5,13.3
2018,01 Altstadt - Lehel,17.2,1.3,11.03,42.1,10.8
2018,02 Ludwigsvorstadt - Isarvorstadt,16.8,2.3,11.77,38.8,9.7
2018,03 Maxvorstadt,17.4,1.8,8.61,38.8,10.0
2018,04 Schwabing - West,18.9,1.9,12.16,41.5,11.4
2018,05 Au - Haidhausen,18.2,2.1,13.83,40.0,10.7
2018,06 Sendling,18.6,2.9,11.6,40.6,11.6
2018,07 Sendling - Westpark,22.8,3.3,11.87,42.3,12.8
2018,08 Schwanthalerhöhe,22.6,3.1,12.21,37.7,9.9
2018,09 Neuhausen - Nymphenburg,19.9,2.4,13.23,41.7,11.7
2018,10 Moosach,26.3,4.1,12.97,42.7,14.0
2018,11 Milbertshofen - Am Hart,33.7,5.4,11.13,40.4,13.1
2018,12 Schwabing - Freimann,22.9,2.9,13.88,40.8,11.7
2018,13 Bogenhausen,20.7,1.9,14.97,44.2,13.3
2018,14 Berg am Laim,27.1,4.8,12.02,41.9,12.9
2018,15 Trudering - Riem,24.1,3.1,21.83,40.7,12.6
2018,16 Ramersdorf - Perlach,31.9,5.3,13.31,43.3,14.4
2018,17 Obergiesing - Fasangarten,22.6,3.4,11.97,40.8,11.5
2018,18 Untergiesing - Harlaching,16.9,2.8,13.23,43.8,12.7
2018,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,20.5,2.4,13.8,44.9,13.5
2018,20 Hadern,23.2,3.4,14.57,45.1,14.7
2018,21 Pasing - Obermenzing,17.9,2.5,17.7,43.5,13.3
2018,22 Aubing - Lochhausen - Langwied,23.8,3.6,17.39,43.1,15.0
2018,23 Allach - Untermenzing,17.7,2.1,20.53,43.4,14.9
2018,24 Feldmoching - Hasenbergl,28.3,4.7,16.87,42.5,15.6
2018,25 Laim,20.2,3.0,10.27,43.6,13.4
2019,01 Altstadt - Lehel,18.0,1.1,11.25,42.1,11.0
2019,02 Ludwigsvorstadt - Isarvorstadt,17.5,2.1,11.91,38.9,9.9
2019,03 Maxvorstadt,18.1,1.6,8.78,38.9,10.0
2019,04 Schwabing - West,19.5,1.7,12.43,41.5,11.5
2019,05 Au - Haidhausen,18.9,1.9,13.97,40.3,10.9
2019,06 Sendling,19.5,2.6,11.87,40.6,11.7
2019,07 Sendling - Westpark,23.8,3.0,11.84,42.3,12.9
2019,08 Schwanthalerhöhe,23.3,2.7,12.54,37.8,10.1
2019,09 Neuhausen - Nymphenburg,20.8,2.2,13.38,41.7,11.7
2019,10 Moosach,27.3,3.7,13.27,42.7,14.0
2019,11 Milbertshofen - Am Hart,35.2,4.9,11.2,40.3,13.1
2019,12 Schwabing - Freimann,23.7,2.8,14.13,40.9,11.8
2019,13 Bogenhausen,21.6,1.7,15.45,44.0,13.2
2019,14 Berg am Laim,28.1,4.7,12.13,41.8,12.9
2019,15 Trudering - Riem,24.7,2.8,21.64,40.9,12.8
2019,16 Ramersdorf - Perlach,32.9,5.0,13.43,43.3,14.4
2019,17 Obergiesing - Fasangarten,23.3,3.2,12.23,40.9,11.6
2019,18 Untergiesing - Harlaching,17.4,2.5,13.31,43.9,12.8
2019,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,21.4,2.3,14.09,44.9,13.5
2019,20 Hadern,24.0,3.0,14.49,45.2,14.9
2019,21 Pasing - Obermenzing,19.0,2.4,17.74,43.5,13.4
2019,22 Aubing - Lochhausen - Langwied,24.8,3.3,17.76,43.0,15.0
2019,23 Allach - Untermenzing,18.8,1.9,20.58,43.3,14.7
2019,24 Feldmoching - Hasenbergl,29.3,4.4,16.9,42.6,15.7
2019,25 Laim,21.2,2.8,10.49,43.5,13.4
2020,01 Altstadt - Lehel,18.6,1.8,11.6,42.1,11.0
2020,02 Ludwigsvorstadt - Isarvorstadt,18.0,2.8,11.8,39.1,10.1
2020,03 Maxvorstadt,18.7,2.1,8.88,39.0,10.1
2020,04 Schwabing - West,20.0,2.2,12.49,41.7,11.6
2020,05 Au - Haidhausen,19.6,2.5,14.13,40.2,10.9
2020,06 Sendling,20.1,3.1,11.94,40.7,11.9
2020,07 Sendling - Westpark,24.7,3.4,12.11,42.3,13.0
2020,08 Schwanthalerhöhe,24.1,3.2,12.27,38.0,10.3
2020,09 Neuhausen - Nymphenburg,21.6,2.6,13.4,41.8,11.9
2020,10 Moosach,28.2,4.1,13.38,42.7,14.0
2020,11 Milbertshofen - Am Hart,36.3,5.3,11.51,40.2,13.2
2020,12 Schwabing - Freimann,24.5,3.3,14.19,41.1,12.0
2020,13 Bogenhausen,22.5,2.2,15.67,43.8,13.1
2020,14 Berg am Laim,29.2,5.0,12.32,41.8,13.0
2020,15 Trudering - Riem,25.6,3.2,21.62,41.1,12.9
2020,16 Ramersdorf - Perlach,33.9,5.4,13.67,43.2,14.5
2020,17 Obergiesing - Fasangarten,24.2,3.5,12.3,41.0,11.9
2020,18 Untergiesing - Harlaching,17.9,2.9,13.34,44.0,12.8
2020,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,22.2,2.7,14.32,44.8,13.5
2020,20 Hadern,24.7,3.2,14.42,45.3,15.0
2020,21 Pasing - Obermenzing,19.8,2.7,17.65,43.4,13.4
2020,22 Aubing - Lochhausen - Langwied,26.0,3.5,18.06,42.6,14.8
2020,23 Allach - Untermenzing,19.5,2.1,20.79,43.2,14.8
2020,24 Feldmoching - Hasenbergl,30.3,4.5,16.87,42.5,15.7
2020,25 Laim,22.1,3.0,10.67,43.6,13.6
2021,01 Altstadt - Lehel,19.1,1.8,11.52,42.0,11.0
2021,02 Ludwigsvorstadt - Isarvorstadt,18.5,2.8,11.83,39.1,10.1
2021,03 Maxvorstadt,19.5,2.1,8.93,38.8,10.1
2021,04 Schwabing - West,20.5,2.1,12.6,41.8,11.7
